,Date,Open,Close,High,Low,Volume (K),Percentage Change
0,2012-01-02,548.0,552.9,553.3,547.5,1.21,1.17
1,2012-01-03,555.9,558.4,560.9,548.1,1.44,0.99
2,2012-01-04,555.2,550.0,559.2,548.7,1.32,-1.5
3,2012-01-05,554.0,545.2,555.9,543.7,0.93,-0.87
4,2012-01-06,543.3,544.6,546.2,539.2,0.78,-0.11
5,2012-01-07,540.0,536.7,540.7,534.3,0.6,-1.45
6,2012-01-09,537.0,542.1,543.9,537.0,0.68,1.01
7,2012-01-10,541.0,533.6,546.5,532.1,1.36,-1.57
8,2012-01-11,537.9,536.8,540.0,533.4,0.78,0.6
9,2012-01-12,535.0,538.4,539.8,533.4,0.61,0.3
10,2012-01-13,534.8,531.4,534.8,528.8,0.6,-1.3
11,2012-01-14,528.0,529.6,531.5,525.1,0.23,-0.34
12,2012-01-16,527.6,529.3,532.4,527.6,0.65,-0.06
13,2012-01-17,532.4,528.6,534.0,526.0,0.69,-0.13
14,2012-01-18,526.0,522.3,528.5,520.4,0.53,-1.19
15,2012-01-19,521.4,523.3,524.2,521.2,0.28,0.19
16,2012-01-20,525.8,522.3,525.8,521.2,0.19,-0.19
17,2012-01-21,518.6,522.2,522.7,518.6,0.16,-0.02
18,2012-01-23,523.5,522.4,526.5,519.7,0.31,0.04
19,2012-01-24,526.5,525.5,527.6,524.0,0.29,0.59
20,2012-01-25,524.1,526.9,527.8,523.0,0.21,0.27
21,2012-01-27,524.1,520.1,524.5,519.0,0.38,-1.29
22,2012-01-28,517.0,516.2,517.0,515.9,0.06,-0.75
23,2012-01-30,516.8,516.3,517.5,514.6,0.23,0.02
24,2012-01-31,513.1,514.2,515.6,513.1,0.45,-0.41
25,2012-02-01,519.3,518.7,521.8,517.6,0.99,0.88
26,2012-02-02,520.0,513.1,522.4,512.2,0.87,-1.08
27,2012-02-03,513.5,513.2,515.0,510.5,0.91,0.02
28,2012-02-04,514.0,515.2,518.5,514.0,0.42,0.39
29,2012-02-06,516.4,516.8,517.9,515.2,0.79,0.31
30,2012-02-07,515.5,516.6,518.0,514.5,1.18,-0.04
31,2012-02-08,516.8,521.7,522.4,514.2,2.63,0.99
32,2012-02-09,523.4,524.0,525.5,521.3,1.33,0.44
33,2012-02-10,524.5,521.5,526.8,520.5,0.93,-0.48
34,2012-02-11,523.8,522.5,523.8,520.6,0.18,0.19
35,2012-02-13,524.0,523.0,524.7,522.4,0.87,0.1
36,2012-02-14,524.0,526.6,527.0,522.1,1.88,0.69
37,2012-02-15,526.0,528.6,529.7,524.9,0.93,0.38
38,2012-02-16,526.4,526.4,527.9,525.0,0.65,-0.42
39,2012-02-17,529.4,530.1,532.6,528.6,1.29,0.7
40,2012-02-18,531.0,533.6,533.9,529.3,0.39,0.66
41,2012-02-20,533.6,533.6,533.6,533.6,,0.0
42,2012-02-21,535.0,538.0,538.8,533.9,0.93,0.82
43,2012-02-22,539.4,538.5,541.7,537.8,0.73,0.09
44,2012-02-23,537.1,540.4,542.7,535.0,0.93,0.35
45,2012-02-24,537.0,539.9,541.4,537.0,0.67,-0.09
46,2012-02-25,541.0,538.3,541.0,537.5,0.29,-0.3
47,2012-02-27,538.5,535.6,539.0,534.9,0.36,-0.5
48,2012-02-28,537.2,536.3,537.7,535.5,0.23,0.13
49,2012-02-29,531.1,535.6,535.9,531.1,0.38,-0.13
50,2012-03-01,544.6,547.1,549.4,542.3,1.84,2.15
51,2012-03-02,546.0,546.4,548.2,546.0,1.39,-0.13
52,2012-03-03,547.7,546.6,548.4,545.8,0.75,0.04
53,2012-03-05,547.6,547.6,548.7,545.4,1.14,0.18
54,2012-03-06,547.8,552.1,555.7,546.3,1.52,0.82
55,2012-03-07,554.3,557.9,559.0,552.7,2.01,1.05
56,2012-03-08,557.9,557.9,557.9,557.9,,0.0
57,2012-03-09,561.9,564.3,569.3,561.9,1.77,1.15
58,2012-03-10,563.0,560.0,564.3,559.5,0.72,-0.76
59,2012-03-12,561.1,556.4,562.0,553.5,1.2,-0.64
60,2012-03-13,558.9,561.0,562.7,557.0,0.95,0.83
61,2012-03-14,564.4,563.2,565.0,560.6,0.71,0.39
62,2012-03-15,564.1,570.3,571.8,562.6,4.51,1.26
63,2012-03-16,571.0,567.0,571.0,565.0,1.81,-0.58
64,2012-03-17,567.0,571.1,571.5,566.8,1.17,0.72
65,2012-03-19,570.0,570.0,572.4,569.4,0.73,-0.19
66,2012-03-20,567.1,569.0,570.9,567.1,0.37,-0.18
67,2012-03-21,567.2,570.9,572.8,567.2,0.6,0.33
68,2012-03-22,570.2,570.6,572.7,569.2,0.5,-0.05
69,2012-03-23,572.6,582.2,583.5,572.6,1.5,2.03
70,2012-03-24,583.5,583.7,586.5,583.0,0.33,0.26
71,2012-03-26,587.5,589.4,590.4,586.5,0.4,0.98
72,2012-03-27,588.8,589.2,591.5,588.7,0.36,-0.03
73,2012-03-28,588.3,591.7,595.0,588.3,0.5,0.42
74,2012-03-29,590.0,592.7,593.0,589.7,0.27,0.17
75,2012-03-30,590.0,589.9,591.5,589.0,0.15,-0.47
76,2012-03-31,592.9,591.6,592.9,590.2,0.2,0.29
77,2012-04-04,610.4,614.2,615.0,610.4,2.78,1.02
78,2012-04-05,614.2,614.2,614.2,614.2,,0.0
79,2012-04-07,615.0,620.6,622.2,614.9,1.11,1.04
